 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:1998
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"150210 Cametá";115;114;151;78;219;263;163;170;154;181;156;166;1930
"150215 Canaã dos Carajás";31;25;25;13;11;12;27;15;18;12;18;12;219
"150220 Capanema";103;133;102;121;108;119;131;108;108;117;108;100;1358
"150230 Capitão Poço";36;26;32;37;38;25;6;6;10;5;5;8;234
"150240 Castanhal";300;265;254;303;326;272;172;270;296;273;249;241;3221
"150250 Chaves";7;3;4;3;5;4;3;3;3;4;5;3;47
"150260 Colares";18;14;10;10;13;16;13;12;21;13;11;9;160
"150270 Conceição do Araguaia";102;88;101;81;72;75;67;68;63;76;59;71;923
"150275 Concórdia do Pará";19;21;20;22;22;16;12;14;11;29;34;38;258
"150276 Cumaru do Norte";3;5;3;2;2;2;3;1;1;3;2;-;27
"150277 Curionópolis";28;29;31;12;24;26;29;37;37;54;50;48;405
"150280 Curralinho";20;23;27;19;16;29;4;2;-;2;6;7;155
"150285 Curuá";30;21;23;16;24;20;12;4;12;10;8;6;186
"150290 Curuçá";32;19;35;27;24;22;14;27;25;15;19;19;278
"150293 Dom Eliseu";106;88;88;82;91;100;105;85;98;104;40;55;1042
"150295 Eldorado do Carajás";33;39;39;51;45;38;42;51;35;45;51;28;497
"150300 Faro";9;4;7;7;2;3;5;4;9;6;6;9;71
"150304 Floresta do Araguaia";17;15;24;15;18;19;16;22;17;16;18;12;209
"150307 Garrafão do Norte";55;29;36;51;40;31;32;39;34;38;28;36;449
"150309 Goianésia do Pará";19;24;29;15;32;43;38;49;48;51;29;28;405
"150310 Gurupá";36;24;33;23;1;1;2;3;-;1;2;24;150
"150320 Igarapé-Açu";58;60;60;43;46;47;33;59;52;66;44;46;614
"150330 Igarapé-Miri";51;54;66;70;62;73;77;70;65;58;58;55;759
"150340 Inhangapi";24;19;17;10;4;12;5;10;13;9;13;14;150
"150345 Ipixuna do Pará";25;21;27;11;18;10;23;28;28;19;23;26;259
"150350 Irituia";24;32;34;28;31;27;36;26;41;44;31;26;380
"150360 Itaituba";3;1;3;5;3;162;356;358;277;318;303;241;2030
"150370 Itupiranga";46;55;40;44;57;35;45;64;56;50;55;54;601
"150375 Jacareacanga";-;-;-;9;3;2;1;6;3;6;7;3;40
"150380 Jacundá";7;10;16;3;23;62;39;88;52;63;58;73;494
"150390 Juruti";14;21;11;29;28;12;11;23;23;33;21;18;244
"150400 Limoeiro do Ajuru";15;12;14;11;10;17;24;22;21;15;14;16;191
"150405 Mãe do Rio";47;51;55;35;36;28;51;49;53;37;37;43;522
"150410 Magalhães Barata";5;7;13;12;11;10;1;7;12;12;12;8;110
"150420 Marabá";320;313;396;346;280;295;309;317;306;281;294;321;3778
"150430 Maracanã";24;27;40;35;27;26;13;22;26;28;16;25;309
"150440 Marapanim";15;10;22;17;7;13;6;9;23;17;15;19;173
"150442 Marituba";102;73;127;90;121;123;101;127;156;146;129;135;1430
"150445 Medicilândia";19;26;19;28;39;45;42;40;44;50;33;31;416
"150450 Melgaço";15;13;2;2;9;15;7;5;9;12;6;10;105
