"Tabela 2612 - Nascidos vivos, ocorridos no ano, por mês do nascimento, sexo, local de nascimento, número de nascidos por parto, idade da mãe na ocasião do parto e lugar de residência da mãe",,,,,,,,,,,,,,,,
Variável - Nascidos vivos ocorridos no ano (Pessoas),,,,,,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Ano x Mês do nascimento x Sexo x Local do nascimento,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,2016,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
MU,1504976,Nova Ipixuna (PA),Total,Total,22,24,18,15,20,19,21,19,26,20,16,16
MU,1505007,Nova Timboteua (PA),Total,Total,20,12,14,14,26,11,15,8,10,10,14,13
MU,1505031,Novo Progresso (PA),Total,Total,50,39,49,56,50,44,54,42,48,37,37,37
MU,1505064,Novo Repartimento (PA),Total,Total,70,64,94,90,82,72,70,77,66,62,73,58
MU,1505106,Óbidos (PA),Total,Total,78,56,78,87,79,72,77,69,60,57,69,64
MU,1505205,Oeiras do Pará (PA),Total,Total,44,57,59,45,44,53,64,54,46,43,51,39
MU,1505304,Oriximiná (PA),Total,Total,106,95,88,103,117,112,100,103,104,89,85,104
MU,1505403,Ourém (PA),Total,Total,26,25,26,18,28,21,30,39,27,22,16,26
MU,1505437,Ourilândia do Norte (PA),Total,Total,56,40,51,56,42,37,52,41,42,49,27,35
MU,1505486,Pacajá (PA),Total,Total,50,47,68,63,60,65,58,66,59,60,47,43
MU,1505494,Palestina do Pará (PA),Total,Total,8,10,6,12,9,6,9,8,4,4,7,5
MU,1505502,Paragominas (PA),Total,Total,153,156,175,227,160,180,175,163,168,142,134,150
MU,1505536,Parauapebas (PA),Total,Total,344,390,392,383,387,346,329,366,346,342,328,307
MU,1505551,Pau D'Arco (PA),Total,Total,13,8,7,15,9,12,14,13,8,15,7,6
MU,1505601,Peixe-Boi (PA),Total,Total,6,9,4,5,3,4,8,9,8,6,12,9
MU,1505635,Piçarra (PA),Total,Total,11,9,8,11,14,6,11,9,10,3,4,8
MU,1505650,Placas (PA),Total,Total,17,13,19,17,25,24,24,21,17,32,21,20
MU,1505700,Ponta de Pedras (PA),Total,Total,37,33,32,37,28,45,34,52,29,34,34,27
MU,1505809,Portel (PA),Total,Total,122,92,108,110,111,106,87,109,106,82,87,82
MU,1505908,Porto de Moz (PA),Total,Total,59,61,62,34,57,48,58,66,59,62,46,52
MU,1506005,Prainha (PA),Total,Total,59,62,59,59,54,53,48,63,39,51,44,44
