"Tabela 2612 - Nascidos vivos, ocorridos no ano, por mês do nascimento, sexo, local de nascimento, número de nascidos por parto, idade da mãe na ocasião do parto e lugar de residência da mãe",,,,,,,,,,,,,,,,
Variável - Nascidos vivos ocorridos no ano (Pessoas),,,,,,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Ano x Mês do nascimento x Sexo x Local do nascimento,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,2016,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
MU,4301503,Augusto Pestana (RS),Total,Total,7,9,8,10,4,7,4,7,1,4,3,5
MU,4301552,Áurea (RS),Total,Total,1,4,3,3,1,-,3,4,2,3,2,-
MU,4301602,Bagé (RS),Total,Total,164,142,133,116,128,142,146,130,133,124,133,118
MU,4301636,Balneário Pinhal (RS),Total,Total,14,9,13,9,18,8,14,9,11,9,10,13
MU,4301651,Barão (RS),Total,Total,2,3,6,3,5,4,8,3,3,6,3,6
MU,4301701,Barão de Cotegipe (RS),Total,Total,10,7,11,7,10,6,9,8,8,9,9,11
MU,4301750,Barão do Triunfo (RS),Total,Total,6,5,3,11,2,10,6,5,6,3,2,4
MU,4301800,Barracão (RS),Total,Total,2,3,2,2,4,5,2,4,4,4,1,5
MU,4301859,Barra do Guarita (RS),Total,Total,2,4,10,3,2,4,5,4,2,2,3,4
MU,4301875,Barra do Quaraí (RS),Total,Total,4,6,3,3,4,3,4,3,6,2,6,6
MU,4301909,Barra do Ribeiro (RS),Total,Total,10,12,20,16,15,14,12,12,14,13,10,8
MU,4301925,Barra do Rio Azul (RS),Total,Total,-,-,-,1,2,2,-,1,-,1,1,-
MU,4301958,Barra Funda (RS),Total,Total,5,5,3,4,1,3,3,1,4,1,2,3
MU,4302006,Barros Cassal (RS),Total,Total,5,10,8,11,14,7,10,7,6,5,6,8
MU,4302055,Benjamin Constant do Sul (RS),Total,Total,4,4,7,7,2,1,3,-,3,5,7,-
MU,4302105,Bento Gonçalves (RS),Total,Total,150,117,160,128,131,107,123,116,105,106,110,131
MU,4302154,Boa Vista das Missões (RS),Total,Total,1,3,3,4,3,4,1,2,1,2,-,2
MU,4302204,Boa Vista do Buricá (RS),Total,Total,9,7,4,9,5,8,6,4,1,2,3,8
MU,4302220,Boa Vista do Cadeado (RS),Total,Total,2,3,-,-,-,-,-,1,2,-,1,-
MU,4302238,Boa Vista do Incra (RS),Total,Total,-,2,-,-,1,1,-,1,-,1,-,-
MU,4302253,Boa Vista do Sul (RS),Total,Total,6,-,1,3,2,-,-,1,4,2,-,2
MU,4302303,Bom Jesus (RS),Total,Total,14,14,10,12,17,19,14,10,17,13,10,17
MU,4302352,Bom Princípio (RS),Total,Total,22,16,12,16,15,13,13,12,10,7,10,17
MU,4302378,Bom Progresso (RS),Total,Total,3,2,2,1,3,-,3,3,1,1,1,-
MU,4302402,Bom Retiro do Sul (RS),Total,Total,7,11,11,14,15,12,17,14,14,11,9,9
MU,4302451,Boqueirão do Leão (RS),Total,Total,7,7,6,6,7,4,8,6,4,10,7,6
MU,4302501,Bossoroca (RS),Total,Total,9,2,5,2,-,5,12,6,7,4,6,5
MU,4302584,Bozano (RS),Total,Total,2,2,3,4,1,4,1,1,2,2,3,2
MU,4302600,Braga (RS),Total,Total,5,5,1,4,3,2,-,3,1,2,5,3
MU,4302659,Brochier (RS),Total,Total,3,5,2,2,5,4,2,4,10,2,1,1
MU,4302709,Butiá (RS),Total,Total,23,19,33,23,29,18,19,24,18,18,19,26
MU,4302808,Caçapava do Sul (RS),Total,Total,26,34,48,35,43,33,29,27,33,26,20,27
MU,4302907,Cacequi (RS),Total,Total,7,12,6,11,17,15,12,14,9,8,5,7
MU,4303004,Cachoeira do Sul (RS),Total,Total,85,96,87,73,95,85,67,80,84,76,74,71
MU,4303103,Cachoeirinha (RS),Total,Total,157,188,174,152,162,152,182,152,138,145,123,171
MU,4303202,Cacique Doble (RS),Total,Total,8,6,1,1,5,1,3,4,4,2,6,4
MU,4303301,Caibaté (RS),Total,Total,6,2,2,5,3,6,3,3,5,4,4,4
MU,4303400,Caiçara (RS),Total,Total,5,3,3,2,1,2,2,2,4,1,1,-
MU,4303509,Camaquã (RS),Total,Total,54,63,72,86,64,75,71,64,89,70,58,51
MU,4303558,Camargo (RS),Total,Total,-,-,2,3,-,1,4,4,1,1,6,3
MU,4303608,Cambará do Sul (RS),Total,Total,8,3,4,11,4,2,3,13,6,7,6,2
MU,4303673,Campestre da Serra (RS),Total,Total,-,2,1,1,1,2,2,1,6,3,-,4
MU,4303707,Campina das Missões (RS),Total,Total,7,7,7,2,7,6,4,4,6,2,4,3
MU,4303806,Campinas do Sul (RS),Total,Total,5,3,4,1,5,7,6,1,4,5,6,5
MU,4303905,Campo Bom (RS),Total,Total,76,79,89,77,67,79,59,80,71,60,62,46
MU,4304002,Campo Novo (RS),Total,Total,3,7,14,9,3,10,6,3,3,7,8,4
MU,4304101,Campos Borges (RS),Total,Total,1,3,4,3,3,5,2,4,3,3,3,5
MU,4304200,Candelária (RS),Total,Total,29,26,36,28,24,42,29,40,36,25,19,29
MU,4304309,Cândido Godói (RS),Total,Total,1,4,5,6,4,4,4,5,3,3,5,3
MU,4304358,Candiota (RS),Total,Total,15,10,10,13,12,8,11,10,10,10,14,8
MU,4304408,Canela (RS),Total,Total,55,49,49,45,66,49,44,49,55,48,58,53
MU,4304507,Canguçu (RS),Total,Total,49,49,30,34,41,54,45,51,45,37,43,38
MU,4304606,Canoas (RS),Total,Total,448,422,479,435,444,462,469,424,391,374,372,392
MU,4304614,Canudos do Vale (RS),Total,Total,-,-,-,-,-,1,-,-,-,2,-,2
MU,4304622,Capão Bonito do Sul (RS),Total,Total,2,-,3,2,1,1,-,1,2,-,1,1
MU,4304630,Capão da Canoa (RS),Total,Total,76,83,79,77,74,81,79,95,71,55,60,62
MU,4304655,Capão do Cipó (RS),Total,Total,4,5,5,2,1,5,6,3,3,2,2,2
MU,4304663,Capão do Leão (RS),Total,Total,31,21,25,27,29,24,27,21,27,18,24,20
MU,4304671,Capivari do Sul (RS),Total,Total,7,5,5,4,3,4,3,6,1,3,3,3
MU,4304689,Capela de Santana (RS),Total,Total,15,15,12,8,12,11,8,6,11,7,9,3
MU,4304697,Capitão (RS),Total,Total,5,2,9,4,4,6,3,-,5,5,4,1
MU,4304705,Carazinho (RS),Total,Total,59,76,69,64,95,53,69,72,62,70,60,71
MU,4304713,Caraá (RS),Total,Total,6,5,6,6,3,5,5,2,2,9,6,-
MU,4304804,Carlos Barbosa (RS),Total,Total,32,31,35,30,42,27,20,23,28,24,23,34
MU,4304853,Carlos Gomes (RS),Total,Total,1,1,2,-,-,1,-,-,1,1,2,2
MU,4304903,Casca (RS),Total,Total,4,7,14,6,7,11,7,7,6,7,7,8
MU,4304952,Caseiros (RS),Total,Total,5,2,1,-,-,1,2,5,-,1,-,1
MU,4305009,Catuípe (RS),Total,Total,13,10,18,4,7,5,11,4,4,8,3,5
MU,4305108,Caxias do Sul (RS),Total,Total,533,555,563,508,545,485,485,517,446,432,413,519
MU,4305116,Centenário (RS),Total,Total,-,1,2,2,-,1,2,2,-,-,4,1
MU,4305124,Cerrito (RS),Total,Total,2,5,7,5,4,2,3,3,5,5,3,2
MU,4305132,Cerro Branco (RS),Total,Total,1,6,3,3,1,-,2,1,2,3,-,1
MU,4305157,Cerro Grande (RS),Total,Total,1,2,2,3,2,3,4,1,-,1,-,2
MU,4305173,Cerro Grande do Sul (RS),Total,Total,11,9,9,10,8,6,17,12,18,12,8,11
MU,4305207,Cerro Largo (RS),Total,Total,16,10,15,10,16,14,18,11,7,11,4,10
MU,4305306,Chapada (RS),Total,Total,8,14,8,11,4,8,2,12,6,4,6,6
MU,4305355,Charqueadas (RS),Total,Total,34,40,32,32,38,38,32,33,28,33,31,16
MU,4305371,Charrua (RS),Total,Total,4,2,-,1,-,2,2,2,1,1,1,1
MU,4305405,Chiapetta (RS),Total,Total,3,5,7,4,4,2,3,5,4,3,3,6
MU,4305439,Chuí (RS),Total,Total,5,3,2,3,3,4,3,5,6,2,-,-
MU,4305447,Chuvisca (RS),Total,Total,5,5,4,6,5,6,3,6,1,1,2,6
MU,4305454,Cidreira (RS),Total,Total,21,15,11,20,14,13,9,12,16,13,14,19
MU,4305504,Ciríaco (RS),Total,Total,3,-,8,4,2,4,2,5,5,1,2,4
MU,4305587,Colinas (RS),Total,Total,2,2,5,2,2,-,2,3,2,3,2,1
MU,4305603,Colorado (RS),Total,Total,4,1,1,2,3,3,3,2,1,3,1,-
MU,4305702,Condor (RS),Total,Total,12,6,7,10,8,11,6,7,8,3,5,4
MU,4305801,Constantina (RS),Total,Total,12,4,16,6,14,13,5,9,11,7,11,9
MU,4305835,Coqueiro Baixo (RS),Total,Total,1,2,-,-,-,-,1,1,1,1,-,-
MU,4305850,Coqueiros do Sul (RS),Total,Total,3,1,-,3,3,1,2,3,1,2,2,1
MU,4305871,Coronel Barros (RS),Total,Total,3,5,2,4,1,2,1,3,3,1,1,-
MU,4305900,Coronel Bicaco (RS),Total,Total,11,9,9,4,10,7,11,5,8,8,4,6
MU,4305934,Coronel Pilar (RS),Total,Total,-,-,1,-,-,-,-,1,-,-,1,1
MU,4305959,Cotiporã (RS),Total,Total,5,2,2,1,2,1,2,4,1,5,-,2
MU,4305975,Coxilha (RS),Total,Total,4,7,6,4,3,3,3,6,2,3,4,-
MU,4306007,Crissiumal (RS),Total,Total,12,14,17,12,13,9,10,9,13,14,14,10
MU,4306056,Cristal (RS),Total,Total,5,14,4,8,8,7,8,9,5,10,3,7
MU,4306072,Cristal do Sul (RS),Total,Total,2,1,2,2,1,2,4,1,2,3,3,2
MU,4306106,Cruz Alta (RS),Total,Total,97,84,79,85,67,76,71,73,70,55,64,60
MU,4306130,Cruzaltense (RS),Total,Total,-,2,-,1,2,1,2,-,1,2,2,-
MU,4306205,Cruzeiro do Sul (RS),Total,Total,23,15,17,13,13,20,10,7,9,10,3,11
MU,4306304,David Canabarro (RS),Total,Total,7,3,5,4,2,4,2,3,6,10,-,5
MU,4306320,Derrubadas (RS),Total,Total,1,1,4,1,2,4,1,3,-,2,2,5
MU,4306353,Dezesseis de Novembro (RS),Total,Total,5,5,4,4,3,1,-,1,1,1,2,-
MU,4306379,Dilermando de Aguiar (RS),Total,Total,-,2,-,2,3,6,3,-,2,5,1,3
MU,4306403,Dois Irmãos (RS),Total,Total,43,36,39,35,32,33,30,30,34,34,32,30
MU,4306429,Dois Irmãos das Missões (RS),Total,Total,3,6,5,2,2,1,3,1,2,2,-,-
MU,4306452,Dois Lajeados (RS),Total,Total,3,3,-,2,3,1,4,3,3,1,3,4
MU,4306502,Dom Feliciano (RS),Total,Total,7,17,20,9,9,9,12,9,8,17,15,8
MU,4306551,Dom Pedro de Alcântara (RS),Total,Total,3,1,2,1,1,1,3,2,-,3,1,3
MU,4306601,Dom Pedrito (RS),Total,Total,46,41,38,44,54,32,46,32,28,34,31,33
MU,4306700,Dona Francisca (RS),Total,Total,4,4,4,1,4,5,3,2,-,1,4,5
MU,4306734,Doutor Maurício Cardoso (RS),Total,Total,3,5,3,2,6,2,4,5,3,2,3,3
MU,4306759,Doutor Ricardo (RS),Total,Total,1,-,3,-,-,-,1,1,1,1,2,2
MU,4306767,Eldorado do Sul (RS),Total,Total,45,52,52,48,54,51,49,51,47,41,43,49
MU,4306809,Encantado (RS),Total,Total,24,27,23,21,25,27,18,15,30,19,18,15
MU,4306908,Encruzilhada do Sul (RS),Total,Total,30,18,29,24,29,23,23,21,21,18,25,32
MU,4306924,Engenho Velho (RS),Total,Total,3,2,1,2,2,2,1,-,1,5,3,2
MU,4306932,Entre-Ijuís (RS),Total,Total,9,8,8,8,9,9,7,12,9,9,7,6
MU,4306957,Entre Rios do Sul (RS),Total,Total,2,6,2,3,4,1,1,4,4,1,1,2
MU,4306973,Erebango (RS),Total,Total,3,5,2,6,3,3,5,2,6,2,2,3
MU,4307005,Erechim (RS),Total,Total,118,118,113,122,124,105,97,112,101,103,93,113
MU,4307054,Ernestina (RS),Total,Total,2,5,4,4,3,3,3,1,2,1,2,6
MU,4307104,Herval (RS),Total,Total,8,6,7,6,4,5,12,2,6,7,6,3
MU,4307203,Erval Grande (RS),Total,Total,4,8,5,2,4,3,4,3,-,9,2,6
MU,4307302,Erval Seco (RS),Total,Total,11,10,12,6,5,6,9,5,8,7,5,9
MU,4307401,Esmeralda (RS),Total,Total,3,1,3,6,4,4,3,2,2,2,5,2
MU,4307450,Esperança do Sul (RS),Total,Total,3,2,2,3,2,1,2,4,2,1,1,4
MU,4307500,Espumoso (RS),Total,Total,19,15,15,11,18,13,19,21,13,15,17,8
MU,4307559,Estação (RS),Total,Total,9,6,4,7,4,5,8,5,8,2,1,9
MU,4307609,Estância Velha (RS),Total,Total,57,54,63,61,42,60,41,66,61,44,58,40
MU,4307708,Esteio (RS),Total,Total,94,102,93,79,97,85,86,82,77,72,83,91
MU,4307807,Estrela (RS),Total,Total,39,40,36,31,36,38,39,35,40,33,22,28
MU,4307815,Estrela Velha (RS),Total,Total,1,3,4,3,-,3,7,4,5,1,4,3
MU,4307831,Eugênio de Castro (RS),Total,Total,4,-,-,2,3,3,-,2,3,-,1,1
MU,4307864,Fagundes Varela (RS),Total,Total,3,1,2,3,1,1,2,4,1,3,1,1
MU,4307906,Farroupilha (RS),Total,Total,67,68,72,82,77,66,60,79,60,62,60,57
MU,4308003,Faxinal do Soturno (RS),Total,Total,5,5,6,6,6,4,3,3,9,3,8,3
MU,4308052,Faxinalzinho (RS),Total,Total,2,-,-,-,6,1,-,2,1,2,3,2
MU,4308078,Fazenda Vilanova (RS),Total,Total,3,9,6,6,2,4,5,4,6,2,6,8
MU,4308102,Feliz (RS),Total,Total,8,15,17,18,12,8,15,16,12,11,7,15
MU,4308201,Flores da Cunha (RS),Total,Total,26,32,29,25,42,33,17,34,34,29,18,37
MU,4308250,Floriano Peixoto (RS),Total,Total,1,2,4,-,2,-,1,1,3,1,2,2
MU,4308300,Fontoura Xavier (RS),Total,Total,10,8,12,8,6,10,10,9,4,10,12,6
MU,4308409,Formigueiro (RS),Total,Total,2,7,9,6,7,4,6,4,8,5,6,10
MU,4308433,Forquetinha (RS),Total,Total,-,1,6,1,2,2,-,1,1,-,-,3
MU,4308458,Fortaleza dos Valos (RS),Total,Total,10,3,5,3,3,3,2,5,2,5,1,3
MU,4308508,Frederico Westphalen (RS),Total,Total,36,35,40,24,37,40,35,34,32,29,24,29
MU,4308607,Garibaldi (RS),Total,Total,31,30,35,34,37,37,35,29,32,44,40,35
MU,4308656,Garruchos (RS),Total,Total,2,1,5,1,-,1,2,1,1,1,1,1
MU,4308706,Gaurama (RS),Total,Total,4,3,5,4,6,6,2,5,3,2,4,5
MU,4308805,General Câmara (RS),Total,Total,9,6,9,6,4,7,5,2,17,7,3,5
MU,4308854,Gentil (RS),Total,Total,3,1,4,2,7,-,2,5,3,1,2,2
MU,4308904,Getúlio Vargas (RS),Total,Total,15,24,26,14,12,20,16,10,19,20,11,16
MU,4309001,Giruá (RS),Total,Total,16,21,18,14,19,23,21,20,13,16,13,11
MU,4309050,Glorinha (RS),Total,Total,8,10,11,9,4,10,6,5,5,9,11,10
MU,4309100,Gramado (RS),Total,Total,50,41,55,51,49,29,48,45,44,48,43,46
MU,4309126,Gramado dos Loureiros (RS),Total,Total,1,4,5,3,2,3,-,4,5,5,3,1
MU,4309159,Gramado Xavier (RS),Total,Total,6,3,5,2,4,2,5,3,1,1,4,1
MU,4309209,Gravataí (RS),Total,Total,310,302,330,350,341,313,321,312,272,259,257,271
MU,4309258,Guabiju (RS),Total,Total,2,-,2,2,1,1,-,1,1,-,1,1
MU,4309308,Guaíba (RS),Total,Total,120,130,116,115,124,145,92,119,96,106,101,106
MU,4309407,Guaporé (RS),Total,Total,29,24,34,22,31,24,29,25,32,23,20,17
MU,4309506,Guarani das Missões (RS),Total,Total,16,8,4,13,8,3,9,4,3,6,5,8
MU,4309555,Harmonia (RS),Total,Total,7,5,2,8,5,5,7,4,6,4,3,5
MU,4309571,Herveiras (RS),Total,Total,1,3,2,1,4,4,3,4,4,4,3,6
MU,4309605,Horizontina (RS),Total,Total,21,9,22,16,20,22,17,23,16,15,15,25
MU,4309654,Hulha Negra (RS),Total,Total,7,10,9,6,6,10,4,7,5,4,7,7
MU,4309704,Humaitá (RS),Total,Total,3,1,5,4,5,1,4,5,3,2,4,6
MU,4309753,Ibarama (RS),Total,Total,4,4,9,4,6,6,5,6,3,4,3,4
MU,4309803,Ibiaçá (RS),Total,Total,6,2,2,3,3,-,-,4,5,3,3,1
MU,4309902,Ibiraiaras (RS),Total,Total,7,6,12,5,9,7,5,1,9,2,5,5
MU,4309951,Ibirapuitã (RS),Total,Total,2,6,2,4,3,4,1,3,2,4,1,-
MU,4310009,Ibirubá (RS),Total,Total,21,25,26,23,13,24,25,19,16,15,8,10
MU,4310108,Igrejinha (RS),Total,Total,53,42,49,39,36,41,40,48,35,28,20,37
MU,4310207,Ijuí (RS),Total,Total,101,110,105,115,90,106,110,115,95,79,79,103
MU,4310306,Ilópolis (RS),Total,Total,9,6,4,3,1,2,3,5,6,1,1,4
MU,4310330,Imbé (RS),Total,Total,26,22,25,26,25,27,28,28,18,23,17,18
MU,4310363,Imigrante (RS),Total,Total,4,3,2,-,2,1,-,-,1,-,4,-
MU,4310405,Independência (RS),Total,Total,8,4,7,6,4,6,7,6,10,3,3,11
MU,4310413,Inhacorá (RS),Total,Total,3,1,4,5,-,2,3,4,2,-,1,-
MU,4310439,Ipê (RS),Total,Total,4,8,5,4,7,8,4,3,8,5,1,5
MU,4310462,Ipiranga do Sul (RS),Total,Total,-,1,-,-,1,1,1,1,3,2,2,1
MU,4310504,Iraí (RS),Total,Total,5,9,8,11,11,8,9,5,10,6,5,6
MU,4310538,Itaara (RS),Total,Total,6,2,5,1,8,9,6,-,2,5,2,4
MU,4310553,Itacurubi (RS),Total,Total,2,2,2,2,2,5,3,1,1,5,2,2
MU,4310579,Itapuca (RS),Total,Total,1,2,3,4,-,-,1,1,1,2,-,2
MU,4310603,Itaqui (RS),Total,Total,65,30,45,53,52,48,51,42,43,39,44,51
MU,4310652,Itati (RS),Total,Total,2,2,-,2,5,2,6,5,3,3,3,3
MU,4310702,Itatiba do Sul (RS),Total,Total,1,1,3,1,3,2,6,3,1,2,1,2
MU,4310751,Ivorá (RS),Total,Total,2,1,-,1,1,-,3,-,3,-,1,1
MU,4310801,Ivoti (RS),Total,Total,30,21,31,24,24,20,26,19,20,21,23,23
MU,4310850,Jaboticaba (RS),Total,Total,4,3,1,2,1,3,2,-,4,2,4,3
MU,4310876,Jacuizinho (RS),Total,Total,1,3,-,-,-,-,2,1,3,2,1,2
MU,4310900,Jacutinga (RS),Total,Total,3,4,5,4,1,1,2,1,3,-,4,1
MU,4311007,Jaguarão (RS),Total,Total,34,22,27,22,21,30,25,30,25,29,26,19
MU,4311106,Jaguari (RS),Total,Total,4,6,7,6,5,5,7,5,3,9,8,4
MU,4311122,Jaquirana (RS),Total,Total,11,5,2,7,5,3,1,10,3,1,2,6
MU,4311130,Jari (RS),Total,Total,1,3,-,-,4,4,3,3,4,4,2,1
MU,4311155,Jóia (RS),Total,Total,8,7,8,12,7,7,7,12,9,2,6,6
MU,4311205,Júlio de Castilhos (RS),Total,Total,16,25,22,14,19,27,18,17,12,14,11,16
MU,4311239,Lagoa Bonita do Sul (RS),Total,Total,4,2,1,4,2,1,-,1,-,2,2,-
MU,4311254,Lagoão (RS),Total,Total,9,3,4,6,3,6,4,9,5,5,5,6
MU,4311270,Lagoa dos Três Cantos (RS),Total,Total,1,5,2,6,1,4,2,2,4,2,-,2
MU,4311304,Lagoa Vermelha (RS),Total,Total,34,28,30,33,44,43,34,28,41,27,24,35
MU,4311403,Lajeado (RS),Total,Total,102,105,116,101,95,110,87,86,70,100,88,95
MU,4311429,Lajeado do Bugre (RS),Total,Total,2,4,5,4,4,5,2,1,1,1,2,4
MU,4311502,Lavras do Sul (RS),Total,Total,6,5,4,3,3,3,8,7,11,6,4,4
MU,4311601,Liberato Salzano (RS),Total,Total,7,6,3,4,5,5,7,3,5,7,4,4
MU,4311627,Lindolfo Collor (RS),Total,Total,10,3,9,10,3,10,13,4,6,6,5,3
MU,4311643,Linha Nova (RS),Total,Total,1,1,-,4,-,2,2,-,-,-,-,3
MU,4311700,Machadinho (RS),Total,Total,7,5,7,4,2,9,5,5,6,3,1,4
MU,4311718,Maçambará (RS),Total,Total,3,3,5,4,3,9,10,6,4,4,3,6
MU,4311734,Mampituba (RS),Total,Total,4,6,2,3,2,2,3,1,3,2,2,6
MU,4311759,Manoel Viana (RS),Total,Total,5,5,2,2,11,4,4,7,3,4,1,2
MU,4311775,Maquiné (RS),Total,Total,3,5,7,7,8,5,8,5,4,4,4,5
MU,4311791,Maratá (RS),Total,Total,3,1,-,3,3,2,-,2,2,2,-,2
MU,4311809,Marau (RS),Total,Total,47,41,46,40,47,34,45,43,50,36,31,32
MU,4311908,Marcelino Ramos (RS),Total,Total,1,7,7,1,5,2,3,3,2,3,3,4
MU,4311981,Mariana Pimentel (RS),Total,Total,4,5,5,6,3,4,5,2,4,2,3,3
MU,4312005,Mariano Moro (RS),Total,Total,1,-,3,2,-,2,1,-,-,1,-,1
MU,4312054,Marques de Souza (RS),Total,Total,1,3,4,4,3,4,5,9,2,-,1,3
MU,4312104,Mata (RS),Total,Total,4,2,6,-,4,3,6,3,2,5,2,2
MU,4312138,Mato Castelhano (RS),Total,Total,6,6,3,1,2,4,4,3,2,4,1,2
MU,4312153,Mato Leitão (RS),Total,Total,3,3,3,3,-,1,2,7,6,-,4,3
MU,4312179,Mato Queimado (RS),Total,Total,1,3,-,2,3,2,2,2,-,3,-,3
MU,4312203,Maximiliano de Almeida (RS),Total,Total,2,4,3,2,2,4,3,1,2,4,2,4
MU,4312252,Minas do Leão (RS),Total,Total,6,10,6,11,13,4,9,8,9,7,10,8
MU,4312302,Miraguaí (RS),Total,Total,7,8,2,7,8,4,10,5,1,9,1,7
MU,4312351,Montauri (RS),Total,Total,1,-,1,1,-,1,2,-,2,2,-,1
MU,4312377,Monte Alegre dos Campos (RS),Total,Total,4,2,3,6,7,4,1,1,4,4,2,4
MU,4312385,Monte Belo do Sul (RS),Total,Total,1,1,2,1,2,-,1,-,1,-,-,-
MU,4312401,Montenegro (RS),Total,Total,81,62,106,78,90,79,92,79,70,56,64,68
MU,4312427,Mormaço (RS),Total,Total,-,3,3,2,2,3,3,2,3,-,2,1
MU,4312443,Morrinhos do Sul (RS),Total,Total,4,2,3,4,2,2,6,2,3,1,2,1
MU,4312450,Morro Redondo (RS),Total,Total,7,6,-,8,2,4,13,5,2,10,4,1
MU,4312476,Morro Reuter (RS),Total,Total,9,2,5,5,10,3,8,2,1,4,8,3
MU,4312500,Mostardas (RS),Total,Total,10,13,16,16,10,14,14,20,6,8,8,12
MU,4312609,Muçum (RS),Total,Total,7,5,4,3,3,8,5,1,2,2,1,8
MU,4312617,Muitos Capões (RS),Total,Total,2,5,2,1,2,1,5,5,5,2,1,4
MU,4312625,Muliterno (RS),Total,Total,4,1,2,5,1,1,5,2,3,3,4,3
MU,4312658,Não-Me-Toque (RS),Total,Total,20,21,22,28,22,19,25,17,19,17,9,12
MU,4312674,Nicolau Vergueiro (RS),Total,Total,-,-,2,-,1,-,-,4,2,4,1,2
MU,4312708,Nonoai (RS),Total,Total,7,17,19,18,14,15,8,17,8,15,12,20
MU,4312757,Nova Alvorada (RS),Total,Total,4,3,2,8,-,-,3,3,4,2,5,1
MU,4312807,Nova Araçá (RS),Total,Total,2,4,6,5,6,5,3,8,7,12,9,7
MU,4312906,Nova Bassano (RS),Total,Total,4,4,9,-,10,6,7,12,8,7,6,10
MU,4312955,Nova Boa Vista (RS),Total,Total,-,1,4,1,2,2,-,2,2,1,-,1
MU,4313003,Nova Bréscia (RS),Total,Total,3,1,1,1,1,1,2,1,3,1,-,1
MU,4313011,Nova Candelária (RS),Total,Total,3,3,3,3,2,1,5,2,2,1,2,1
MU,4313037,Nova Esperança do Sul (RS),Total,Total,7,4,10,4,7,3,4,4,9,3,5,2
MU,4313060,Nova Hartz (RS),Total,Total,23,34,22,25,28,27,19,18,16,22,18,23
MU,4313086,Nova Pádua (RS),Total,Total,-,1,1,2,2,2,2,1,1,-,1,-
MU,4313102,Nova Palma (RS),Total,Total,10,6,3,7,9,6,3,4,8,5,-,4
MU,4313201,Nova Petrópolis (RS),Total,Total,21,24,21,26,24,16,20,20,17,22,20,21
MU,4313300,Nova Prata (RS),Total,Total,29,29,41,21,32,29,30,35,26,25,28,27
MU,4313334,Nova Ramada (RS),Total,Total,-,3,2,2,2,-,4,3,2,3,-,1
MU,4313359,Nova Roma do Sul (RS),Total,Total,2,1,2,3,1,2,7,2,-,1,1,2
MU,4313375,Nova Santa Rita (RS),Total,Total,34,28,34,38,38,39,30,25,36,40,23,27
MU,4313391,Novo Cabrais (RS),Total,Total,1,2,3,2,3,6,6,1,6,2,1,2
MU,4313409,Novo Hamburgo (RS),Total,Total,263,307,272,283,272,259,260,267,294,223,235,252
MU,4313425,Novo Machado (RS),Total,Total,4,4,1,2,4,3,-,-,-,1,1,1
MU,4313441,Novo Tiradentes (RS),Total,Total,-,4,3,3,2,1,3,-,1,2,2,3
MU,4313466,Novo Xingu (RS),Total,Total,1,-,2,2,1,-,4,1,1,1,1,1
MU,4313490,Novo Barreiro (RS),Total,Total,5,4,3,4,3,1,3,1,4,3,3,4
MU,4313508,Osório (RS),Total,Total,78,57,66,45,72,45,46,67,42,43,44,42
MU,4313607,Paim Filho (RS),Total,Total,3,3,3,4,2,2,3,2,2,1,2,2
MU,4313656,Palmares do Sul (RS),Total,Total,15,14,17,14,17,16,9,12,14,11,7,12
MU,4313706,Palmeira das Missões (RS),Total,Total,48,43,55,37,29,33,45,40,36,26,26,47
MU,4313805,Palmitinho (RS),Total,Total,12,9,6,9,2,8,6,12,6,9,7,4
MU,4313904,Panambi (RS),Total,Total,69,54,59,45,61,45,59,46,53,36,39,49
MU,4313953,Pantano Grande (RS),Total,Total,11,12,12,8,8,8,8,15,9,9,2,14
MU,4314001,Paraí (RS),Total,Total,8,6,11,5,11,7,12,8,15,10,10,6
MU,4314027,Paraíso do Sul (RS),Total,Total,7,12,1,6,11,6,6,7,4,11,6,5
MU,4314035,Pareci Novo (RS),Total,Total,1,3,5,9,3,-,1,6,3,3,6,6
MU,4314050,Parobé (RS),Total,Total,62,71,61,88,64,77,60,63,47,53,64,46
MU,4314068,Passa Sete (RS),Total,Total,4,-,2,1,2,4,2,6,6,2,-,1
MU,4314076,Passo do Sobrado (RS),Total,Total,6,7,7,8,6,3,3,6,3,2,6,4
MU,4314100,Passo Fundo (RS),Total,Total,249,227,262,247,271,238,245,221,212,211,223,240
MU,4314134,Paulo Bento (RS),Total,Total,5,1,-,2,-,1,2,1,1,1,2,4
MU,4314159,Paverama (RS),Total,Total,14,7,6,5,5,5,5,7,5,6,3,5
MU,4314175,Pedras Altas (RS),Total,Total,-,1,2,4,1,1,1,-,5,5,1,2
