 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:1994
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Ignorado";"Total"
"150440 Marapanim";20;15;16;18;27;22;13;17;15;17;13;19;-;212
"150445 Medicilândia";7;10;11;1;11;9;6;3;11;4;9;7;-;89
"150450 Melgaço";8;6;2;6;5;2;4;1;2;4;6;12;-;58
"150460 Mocajuba";22;29;27;15;27;36;22;25;1;10;15;11;-;240
"150470 Moju";46;31;34;27;27;37;27;56;30;32;29;50;-;426
"150480 Monte Alegre";86;89;89;99;90;98;58;-;-;2;79;119;-;809
"150490 Muaná";28;14;38;31;35;27;25;20;26;18;5;5;-;272
"150495 Nova Esperança do Piriá";1;1;2;3;2;4;4;3;2;1;1;1;-;25
"150500 Nova Timboteua";9;6;8;13;14;6;13;8;7;10;16;18;-;128
"150506 Novo Repartimento";31;26;35;21;37;8;28;26;42;42;45;38;-;379
"150510 Óbidos";49;39;51;53;55;32;60;53;60;58;54;46;-;610
"150520 Oeiras do Pará";17;18;25;21;14;13;19;18;23;17;7;14;-;206
"150530 Oriximiná";89;94;98;86;97;87;121;85;3;11;72;72;-;915
"150540 Ourém";21;38;31;35;32;18;27;19;23;32;19;20;-;315
"150543 Ourilândia do Norte";2;-;-;3;3;1;4;2;2;-;19;38;-;74
"150548 Pacajá";32;18;8;6;14;14;17;7;9;26;32;32;-;215
"150549 Palestina do Pará";8;-;8;10;3;8;4;-;-;1;-;1;-;43
"150550 Paragominas";61;62;70;30;49;76;41;99;47;44;15;8;-;602
"150553 Parauapebas";136;106;1;-;128;6;3;-;1;3;131;147;-;662
"150555 Pau D'Arco";-;-;1;3;7;3;3;2;5;-;-;3;-;27
"150560 Peixe-Boi";8;6;9;17;10;9;8;9;10;9;8;11;-;114
"150570 Ponta de Pedras";12;12;6;10;10;21;14;9;7;12;15;13;-;141
"150580 Portel";42;32;50;54;45;43;39;37;37;51;32;37;-;499
"150590 Porto de Moz";19;6;8;3;6;6;18;18;24;9;8;5;-;130
"150600 Prainha";19;15;15;16;22;23;20;11;3;9;16;16;-;185
"150610 Primavera";31;30;32;23;30;25;19;27;24;25;19;34;-;319
"150613 Redenção";88;75;64;115;114;73;12;5;6;17;77;135;-;781
"150616 Rio Maria";31;29;41;29;24;25;38;29;14;11;34;47;-;352
"150618 Rondon do Pará";81;71;77;81;24;70;37;1;2;79;83;83;1;690
"150619 Rurópolis";33;39;44;38;48;42;55;52;48;65;35;63;-;562
"150620 Salinópolis";50;47;72;65;54;49;38;54;54;57;45;63;-;648
"150630 Salvaterra";14;6;20;13;15;7;1;15;15;9;4;12;-;131
"150635 Santa Bárbara do Pará";5;17;4;6;11;18;18;11;9;18;10;11;-;138
"150640 Santa Cruz do Arari";2;7;3;14;5;6;5;8;7;3;3;4;-;67
"150650 Santa Izabel do Pará";90;76;76;94;92;77;87;105;68;89;105;79;-;1038
"150655 Santa Luzia do Pará";20;31;16;31;45;20;28;29;27;36;19;29;-;331
"150658 Santa Maria das Barreiras";5;3;7;2;6;4;2;6;4;2;3;2;-;46
"150660 Santa Maria do Pará";17;8;16;16;14;5;5;3;-;3;6;23;-;116
"150670 Santana do Araguaia";8;6;16;8;15;21;3;17;5;5;10;17;-;131
"150680 Santarém";537;531;550;499;534;423;429;519;586;629;595;514;-;6346
"150690 Santarém Novo";6;2;3;7;7;11;15;7;8;7;14;5;-;92
"150700 Santo Antônio do Tauá";34;30;34;29;27;25;11;17;9;22;20;32;-;290
"150710 São Caetano de Odivelas";27;20;23;18;21;20;11;21;19;12;14;21;-;227
"150715 São Domingos do Araguaia";30;14;36;18;18;26;30;22;41;35;26;18;-;314
"150720 São Domingos do Capim";32;19;23;16;24;10;24;22;21;19;21;16;-;247
"150730 São Félix do Xingu";27;31;31;43;28;28;41;23;14;22;30;36;-;354
"150740 São Francisco do Pará";14;7;15;11;11;9;17;17;3;11;22;13;-;150
"150745 São Geraldo do Araguaia";34;28;10;20;37;23;40;32;34;20;11;12;-;301
"150747 São João de Pirabas";23;24;10;27;19;27;19;22;23;32;23;27;-;276
"150750 São João do Araguaia";10;8;2;7;7;27;4;6;8;7;6;6;-;98
"150760 São Miguel do Guamá";68;61;55;49;50;29;36;47;43;37;56;29;-;560
"150770 São Sebastião da Boa Vista";30;19;2;-;21;30;24;13;13;15;15;30;-;212
"150780 Senador José Porfírio";14;6;16;4;11;16;12;14;12;13;15;19;-;152
"150790 Soure";26;47;27;37;26;40;33;40;39;34;33;39;-;421
"150795 Tailândia";9;9;9;8;11;12;15;5;14;17;10;25;-;144
"150796 Terra Alta";6;11;4;4;8;11;6;6;7;13;13;8;-;97
"150797 Terra Santa";21;27;16;16;14;12;21;11;18;17;14;14;-;201
"150800 Tomé-Açu";34;28;22;33;19;31;19;36;26;25;30;14;-;317
"150805 Trairão";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"150808 Tucumã";57;63;70;76;53;38;21;31;15;-;7;7;-;438
"150810 Tucuruí";134;103;154;137;145;22;126;123;178;138;149;148;1;1558
"150812 Ulianópolis";-;-;-;1;-;-;1;-;-;-;-;-;-;2
