Sigla,Codigo,Munic’pio,1991,2000
BA,2917359,Jaborandi,1687,2023
BA,2917409,Jacaraci,2439,3651
BA,2917508,Jacobina,50009,52088
BA,2917607,Jaguaquara,26977,35103
BA,2917706,Jaguarari,6070,13381
BA,2917805,Jaguaripe,3943,4632
BA,2917904,Janda’ra,4471,5507
BA,2918001,Jequi_,116885,130296
BA,2918100,Jeremoabo,13640,14764
BA,2918209,Jiquiriç‡,3386,4588
BA,2918308,Jitaœna,6993,9568
BA,2918357,Jo‹o Dourado,9336,11441
BA,2918407,Juazeiro,102266,133278
BA,2918456,Jucuruçu,1299,1850
BA,2918506,Jussara,8547,9865
BA,2918555,Jussari,4609,5124
BA,2918605,Jussiape,3902,3766
BA,2918704,Lafaiete Coutinho,1771,1921
BA,2918753,Lagoa Real,1148,2006
BA,2918803,Laje,3849,5118
BA,2918902,Lajed‹o,1663,1852
BA,2919009,Lajedinho,892,1154
BA,2919058,Lajedo do Tabocal,3291,4608
BA,2919108,Lamar‹o,1521,1928
BA,2919157,Lap‹o,6848,9222
BA,2919207,Lauro de Freitas,44374,108385
BA,2919306,Lenç—is,3481,6395
BA,2919405,Lic’nio de Almeida,5771,5957
BA,2919504,Livramento de Nossa Senhora,13200,16724
BA,2919553,Lu’s Eduardo Magalh‹es,,
BA,2919603,Macajuba,3235,4405
BA,2919702,Macarani,8881,10719
BA,2919801,Macaœbas,8001,11681
BA,2919900,Macurur_,1353,2355
BA,2919926,Madre de Deus,8792,11599
BA,2919959,Maetinga,1317,1974
BA,2920007,Maiquinique,4056,5208
BA,2920106,Mairi,6980,9595
BA,2920205,Malhada,2688,6073
BA,2920304,Malhada de Pedras,1501,2348
BA,2920403,Manoel Vitorino,5186,6783
BA,2920452,Mansid‹o,1844,2334
BA,2920502,Marac‡s,12195,18516
BA,2920601,Maragogipe,20472,21043
BA,2920700,Maraœ,2651,2849
BA,2920809,Marcion’lio Souza,3934,5097
BA,2920908,Mascote,1573,11853
BA,2921005,Mata de S‹o Jo‹o,24143,24969
BA,2921054,Matina,1389,2759
BA,2921104,Medeiros Neto,15704,16027
BA,2921203,Miguel Calmon,11969,14819
BA,2921302,Milagres,7200,9359
BA,2921401,Mirangaba,4181,4713
BA,2921450,Mirante,496,1279
BA,2921500,Monte Santo,4855,7226
BA,2921609,Morpar‡,3637,5494
BA,2921708,Morro do Chap_u,15519,19793
BA,2921807,Mortugaba,4149,4994
BA,2921906,Mucugê,2230,3317
BA,2922003,Mucuri,4810,18685
BA,2922052,Mulungu do Morro,4931,6159
BA,2922102,Mundo Novo,11983,11129
BA,2922201,Muniz Ferreira,2524,3301
BA,2922250,Muqu_m de S‹o Francisco,807,997
BA,2922300,Muritiba,14709,17905
BA,2922409,Mutu’pe,6943,8984
BA,2922508,Nazar_,20491,23011
BA,2922607,Nilo Peçanha,1980,2495
BA,2922656,Nordestina,1370,2875
BA,2922706,Nova Cana‹,5527,5973
BA,2922730,Nova F‡tima,3462,4441
BA,2922755,Nova Ibi‡,2358,2534
BA,2922805,Nova Itarana,1960,2497
BA,2922854,Nova Redenç‹o,3581,4492
BA,2922904,Nova Soure,10177,10869
BA,2923001,Nova Viçosa,9374,24636
BA,2923035,Novo Horizonte,1357,2000
BA,2923050,Novo Triunfo,2398,5247
BA,2923100,Olindina,9102,11152
BA,2923209,Oliveira dos Brejinhos,4191,5817
BA,2923308,Ouriçangas,1932,2584
BA,2923357,Ourol‰ndia,2356,4458
BA,2923407,Palmas de Monte Alto,5312,6657
BA,2923506,Palmeiras,3600,3999
BA,2923605,Paramirim,5356,7883
BA,2923704,Paratinga,7346,9067
BA,2923803,Paripiranga,5454,7781
BA,2923902,Pau Brasil,9279,8740
BA,2924009,Paulo Afonso,74355,82584
BA,2924058,P_ de Serra,3738,4111
BA,2924108,Pedr‹o,1411,1457
BA,2924207,Pedro Alexandre,1427,2131
BA,2924306,Piat‹,3306,5771
BA,2924405,Pil‹o Arcado,4268,7865
BA,2924504,Pinda’,3048,3631
BA,2924603,Pindobaçu,5703,10456
BA,2924652,Pintadas,2303,4076
BA,2924678,Pira’ do Norte,1848,2787
BA,2924702,Pirip‡,3478,5248
BA,2924801,Piritiba,8987,12728
BA,2924900,Planaltino,2375,2990
BA,2925006,Planalto,9957,12537
BA,2925105,Poç›es,24873,31801
BA,2925204,Pojuca,18510,21884
BA,2925253,Ponto Novo,5542,6767
BA,2925303,Porto Seguro,23315,79619
BA,2925402,Potiragu‡,5630,7546
BA,2925501,Prado,9655,14169
BA,2925600,Presidente Dutra,6352,7659
BA,2925709,Presidente J‰nio Quadros,1493,2913
BA,2925758,Presidente Tancredo Neves,2136,6221
BA,2925808,Queimadas,8431,9783
BA,2925907,Quijingue,3389,4892
BA,2925931,Quixabeira,2710,3130
BA,2925956,Rafael Jambeiro,2549,4902
BA,2926004,Remanso,17868,21015
BA,2926103,Retirol‰ndia,3882,5474
BA,2926202,Riach‹o das Neves,8921,10257
BA,2926301,Riach‹o do Jacu’pe,14557,15569
BA,2926400,Riacho de Santana,8373,11011
BA,2926509,Ribeira do Amparo,754,1459
BA,2926608,Ribeira do Pombal,20752,25383
BA,2926657,Ribeir‹o do Largo,2436,4451
BA,2926707,Rio de Contas,4539,5684
BA,2926806,Rio do Ant™nio,3883,5112
BA,2926905,Rio do Pires,3239,4310
BA,2927002,Rio Real,13917,20043
BA,2927101,Rodelas,3053,4786
BA,2927200,Ruy Barbosa,17114,20263
BA,2927309,Salinas da Margarida,3902,4611
BA,2927408,Salvador,2073510,2442102
BA,2927507,Santa B‡rbara,4766,7167
BA,2927606,Santa Br’gida,2840,4408
BA,2927705,Santa Cruz Cabr‡lia,3197,13527
